date,meanIceDepth,iceAge,meanAirAge,ppm
20-Aug-92,83.1,1939,1969,323.2
12-Aug-93,83.98,1938,1968,323.7
02-Aug-93,89.15,1935,1965,319.5
02-Aug-93,89,1935,1965,318.8
05-Aug-92,91.95,1933,1963,318.2
14-Jul-93,93,1932,1962,318.7
14-Jul-93,93.15,1932,1962,317
15-Jul-93,92.68,1932,1962,319.4
15-Jul-93,92.84,1932,1962,317
27-Jul-92,104.44,1923,1953,311.9
13-Nov-92,104.61,1923,1953,311
12-Aug-93,104.29,1923,1953,312.7
02-Aug-93,115.66,1914,1944,309.7
08-Oct-93,121.8,1909,1939,311
19-Aug-93,121.9,1908,1938,310.5
13-Aug-93,130.27,1902,1932,307.8
10-Aug-93,138.79,1894,1924,304.8
13-Aug-93,138.79,1894,1924,304.1
11-Aug-93,149.86,1885,1915,301.3
17-Aug-93,153,1882,1912,300.7
19-Jul-95,160.7,1875,1905,296.9
03-Aug-95,160.9,1875,1905,298.5
10-Aug-93,167.86,1868,1898,294.7
19-Aug-93,174.39,1862,1892,294.6
19-Jul-95,179.5,1856,1886,293.7
10-Aug-93,184.31,1852,1882,291.9
03-Aug-95,190.3,1847,1877,288.8
06-Aug-93,197.54,1839,1869,287.4
11-Aug-93,206.09,1831,1861,286.6
12-Aug-93,214.1,1824,1854,284.9
26-Jun-92,218.02,1820,1850,285.2
29-Jul-93,228.74,1810,1840,283
